food_id,food_type,food_name_th,food_name_en,food_group,food_subgroup,energy,water,protein,fat,carbohydrate,fibre,ash,calcium,phosphorus,magnesium,sodium,potassium,iron,copper,zinc,iodine,selenium,betacarotene,retinol,vitamin_A,thiamin,riboflavin,niacin,vitamin_C,vitamin_E,folate,cobalamin,sugar,cholesterol,sfa,sfa_4_0,sfa_6_0,sfa_8_0,sfa_10_0,sfa_12_0,sfa_14_0,sfa_16_0,sfa_18_0,mufa,mufa_16_1,mufa_18_1,mufa_20_1,mufa_22_1,pufa,pufa_18_2,pufa_18_3,pufa_18_4,pufa_20_4,pufa_20_5,pufa_22_5,pufa_22_6,asparticacid,threonine,serine,glutamic_acid,proline,glycine,alanine,cystine,valine,methionine,isoleucine,leucine,tryrosine,phenylalanine,histidine,lysine,arginine,total_amino_acid,catechin,epicatechin,gallic,energy_fat,fat_all,fat_saturated
01005,foundation,"ขนมจีน, แป้งหมัก","Noodle, rice, round, fermented",ธัญพืช,ไม่ระบุ,77,80.7,0.90,0.10,18.20,0,0.10,7,14,,,,0.90,,,,,0,,0,tr,0.02,0.40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01003,foundation,"ก๋วยเตี๋ยว, เส้นใหญ่, สด","Noodle, rice, big size strip, fresh",ธัญพืช,ไม่ระบุ,135,67.1,2.50,0.80,29.50,0,0.10,10,29,,,,2.70,,,,,0,,0,0.00,tr,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01007,foundation,"ข้าวกล้อง, งอก, ดิบ","Rice, brown, germinated, raw",ธัญพืช,ไม่ระบุ,366,10.3,7.57,3.73,74.13,2.9,1.44,6,,,11,,,,,,,0,,0,0.20,0.04,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01004,foundation,"ขนมจีน, แป้งสด","Noodle, rice, round, cooked",ธัญพืช,ไม่ระบุ,89,77.5,1.40,0.00,21.00,0,0.10,7,22,,,,2.30,,,,,0,,0,0.00,tr,0.10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01001,foundation,"ก๋วยเตี๋ยว, เส้นจันท์, แห้ง","Noodle, rice, small size strip, dried",ธัญพืช,ไม่ระบุ,349,12.7,5.30,0.30,81.40,0,0.30,29,73,,,,,,,,,0,,0,tr,tr,0.70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01002,foundation,"ก๋วยเตี๋ยว, เส้นเล็ก, สด","Noodle, rice, small size strip, fresh",ธัญพืช,ไม่ระบุ,219,45.7,4.40,0.60,49.20,0,0.10,12,22,,,,1.90,,,,,0,,0,0.00,0.01,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01006,foundation,ขนมปังปอนด์,Bread,ธัญพืช,ไม่ระบุ,328,20,12.20,3.30,62.60,0,1.90,22,121,,,,2.00,,,,,,,,0.21,0.16,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01008,foundation,"ข้าวกล้อง, ดอย, ดิบ","Hightland, brown rice, raw",ธัญพืช,ไม่ระบุ,356,12.3,7.26,3.44,72.77,3,1.24,163,215,167,0,363,,0.25,2.76,,,3,,0,0.31,0.07,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010,foundation,"ข้าวกล้อง, หอมนิล, ดิบ","Rice, brown, Hom-nil  variety, raw",ธัญพืช,ไม่ระบุ,364,12,9.44,5.25,68.14,3.2,1.95,9,,,1,,2.17,,,1.27,,15,,1,0.57,0.13,,,,,,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01009,foundation,"ข้าวกล้อง, ดอย, สีแดง, ดิบ","Hightland  red, brown rice, raw",ธัญพืช,ไม่ระบุ,352,12.2,8.68,3.03,70.54,4.1,1.51,174,250,177,1,372,,0.42,3.22,,,4,,0,0.32,0.09,6.82,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01011,foundation,"ข้าวกล้อง,หอมมะลิ, ดิบ","Rice, brown, jusmine variety, raw",ธัญพืช,ไม่ระบุ,356,12,7.72,3.52,71.90,3.3,1.50,16,255,,19,,2.44,,,,,1,,0,0.47,0.07,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01012,foundation,"ข้าวเจ้า, 5%, ดิบ","Rice,  polished,  5%, raw",ธัญพืช,ไม่ระบุ,351,12.9,6.60,1.00,79.10,0,0.40,0,80,,,,0.70,,,,,,,,0.20,0.31,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01014,foundation,"ข้าวเจ้า, 100%, ดิบ","Rice,  polished,  100%, raw",ธัญพืช,ไม่ระบุ,353,12.4,6.40,0.90,79.90,0,0.40,0,130,,,,0.90,,,,,,,,0.26,0.43,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01015,foundation,"ข้าวเจ้า, เคลือบวิตามินบี, ดิบ","Rice, Vit. B coated, raw",ธัญพืช,ไม่ระบุ,352,12.5,6.50,1.10,78.80,0.8,0.30,10,56,,,,tr,,,,,,,,1.25,0.97,8.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01013,foundation,"ข้าวเจ้า, 10%, ดิบ","Rice,  polished,  10% , raw",ธัญพืช,ไม่ระบุ,351,12.8,6.50,0.90,79.40,0,0.40,0,93,,,,1.10,,,,,,,,0.17,0.40,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01016,foundation,"ข้าวเจ้า, ซ้อมมือ, ดิบ","Rice,  unpolished, raw",ธัญพืช,ไม่ระบุ,354,12.7,6.60,2.30,75.90,1.7,0.80,,66,,,,,,,,,tr,,tr,0.34,0.11,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01017,foundation,"ข้าวเจ้า, นึ่ง","Rice, polished, steamed",ธัญพืช,ไม่ระบุ,140,65.4,2.80,0.50,31.20,0,0.10,0,11,,,,0.50,,,,,,,,0.01,0.00,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01019,foundation,"ข้าวเจ้า, ชุมแสง, ดิบ","Rice, polished, Chumsang variety, raw",ธัญพืช,ไม่ระบุ,353,12.3,6.90,1.10,78.90,0.4,0.40,,95,,,,,,,,,,,,0.09,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01018,foundation,"ข้าวเจ้า, ปลายข้าว, ดิบ","Rice, broken, raw",ธัญพืช,ไม่ระบุ,357,11.8,6.00,1.40,80.10,0,0.70,55,90,,,,1.80,,,,,,,,0.13,0.10,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01020,foundation,"ข้าวเจ้า, ชัยนาท1, ดิบ","Rice, polished, ChaiNat 1 variety, raw",ธัญพืช,ไม่ระบุ,357,11.2,7.02,1.15,79.47,0.7,0.51,2,33,,2,36,,,,3.67,,,,0,0.07,0.03,2.21,,tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01022,foundation,"ข้าวเจ้า, ไรซ์เบอรี่, ดิบ","Rice, polished, Riceberry variety, raw",ธัญพืช,ไม่ระบุ,360,11.8,8.94,4.64,68.59,4.2,1.78,16,207,158,2,378,1.49,0.26,2.42,4.49,,7,,0,0.48,0.13,4.08,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01021,foundation,"ข้าวเจ้า, มันปู, ดิบ","Rice, polished, Munpu variety, raw",ธัญพืช,ไม่ระบุ,355,11.7,8.14,3.11,71.96,3.8,1.34,14,455,117,4,297,2.76,0.19,2.16,10.50,,1,,0,0.37,0.07,2.57,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01024,foundation,"ข้าวเจ้า, เสาไห้, ดิบ","Rice, polished, Sauhai variety, raw",ธัญพืช,ไม่ระบุ,353,12.1,6.60,1.10,79.00,0.8,0.40,,,,,,,,,,,,,,0.11,0.02,1.50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01025,foundation,"ข้าวเจ้า, หอมนิล, ดิบ","Rice, polished, Homnil variety, raw",ธัญพืช,ไม่ระบุ,354,12.2,8.51,2.95,71.79,3.3,1.24,6,655,74,2,198,1.29,0.21,2.01,5.21,,5,,0,0.36,0.10,,0,0.00,,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01023,foundation,"ข้าวเจ้า, สังข์หยด, ดิบ","Rice, polished, Sangyod variety, raw",ธัญพืช,ไม่ระบุ,359,12.2,9.03,4.25,69.29,3.8,1.50,11,,133,7,303,1.18,0.36,2.26,5.51,,2,,0,0.18,0.08,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01027,foundation,"ข้าวบัสมาตี, ดิบ","Rice, polished,Basmati variety, raw",ธัญพืช,ไม่ระบุ,344,12.2,7.00,1.30,73.10,6,0.40,14,20,,,,0.00,,,,,,,,0.13,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01026,foundation,"ข้าวเจ้า, หอมมะลิ, ดิบ","Rice, polished, Jusmine variety, raw",ธัญพืช,ไม่ระบุ,355,12,6.20,1.10,79.80,0.6,0.30,3,66,,,,tr,,,,,,,,0.11,0.04,0.90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01030,foundation,"ข้าวโพด, เหลือง, ดิบ","Corn, yellow, raw",ธัญพืช,ไม่ระบุ,110,73.4,3.40,1.40,21.10,0,0.70,10,11,,,,1.70,,,,,,,,0.11,0.18,1.10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01031,foundation,"ข้าวโพดข้าวเหนียว, ขาวสลับม่วง, ดิบ","Corn, Waxy or sticky variety, raw",ธัญพืช,ไม่ระบุ,181,55.6,4.80,1.64,36.53,0.9,0.55,1,,,0,218,,tr,1.00,,,,,,0.08,0.11,2.52,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01032,foundation,"ข้าวฟ่าง, ดิบ","Sorghum, raw",ธัญพืช,ไม่ระบุ,351,10.6,10.04,3.84,64.55,9.1,1.88,24,316,,34,,42.00,,,10.00,,0,0.00,,0.45,0.11,3.60,tr,tr,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01029,foundation,"ข้าวโพด, เหลือง, ต้ม","Corn, yellow, boiled",ธัญพืช,ไม่ระบุ,116,74.5,4.30,3.30,17.40,0,0.50,11,47,,,,3.60,,,,,494,,41,0.08,0.08,1.50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01028,foundation,"ข้าวบาเลย์, ดิบ","Barley, raw",ธัญพืช,ไม่ระบุ,335,11.8,11.47,2.26,62.71,9.4,2.42,41,191,,60,,1.40,,,34.00,,0,0.00,0,0.24,0.06,0.80,0,0.00,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01033,foundation,"ข้าวสาลี, ดิบ","Wheat, raw",ธัญพืช,ไม่ระบุ,339,10.8,12.71,2.11,61.55,11.7,1.19,42,190,,21,,4.20,,,22.00,,0,0.00,0,0.69,0.11,2.40,0,0.88,,,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01034,foundation,"ข้าวสาลี, จมูกข้าว, อบ","Wheat, germ, dried",ธัญพืช,ไม่ระบุ,391,4.3,28.00,9.50,43.10,11,4.10,54,901,,,,6.80,,,20.00,,0,0.00,0,3.03,0.74,3.30,1,11.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01036,foundation,"ข้าวเหนียว, ดิบ","Rice, glutinous, raw",ธัญพืช,ไม่ระบุ,363,11.7,6.30,0.60,80.10,0.9,0.40,7,63,,,,2.50,,,,,0,0.00,0,0.08,0.03,1.83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01035,foundation,"ข้าวสาลี, รำข้าว","Wheat, bran, raw",ธัญพืช,ไม่ระบุ,284,13.1,19.40,5.60,20.70,36.8,4.40,,,,,,,,,,,,,,2.14,1.21,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01037,foundation,"ข้าวเหนียวดำ, ดิบ","Rice, glutinous, black variety, raw",ธัญพืช,ไม่ระบุ,354,11.8,8.20,3.00,71.20,4.9,0.90,26,65,,,,2.30,,,,,16,,1,0.55,0.29,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01038,foundation,"ข้าวเหนียวดำ, ข้าวลืมผัว, ดิบ","Rice, glutinous, black variety, raw",ธัญพืช,ไม่ระบุ,357,12,8.88,3.44,70.85,3.7,1.15,15,304,113,,406,1.69,0.60,2.56,4.30,,12,,1,0.41,0.19,0.56,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01040,foundation,"ข้าวเหนียวกล้อง, ดิบ","Rice, brown, glutinous, raw",ธัญพืช,ไม่ระบุ,356,12.5,7.86,3.57,71.67,3,1.41,18,272,,,,1.60,,,12.00,,0,0.00,0,0.55,0.06,2.40,tr,tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01039,foundation,"ข้าวเหนียว, นึ่ง","Rice, glutinous, steamed",ธัญพืช,ไม่ระบุ,230,42.9,4.10,0.60,51.80,0.5,0.10,18,12,,,,tr,,,,,,,,0.03,0.10,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
